rxn,Ea
[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[O:21][O:22][H:23]>>[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[H:15][O:21][O:22][H:23],62.751632
[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[C:21]([H:22])([H:23])[H:24]>>[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:8])[H:9].[H:7][C:21]([H:22])([H:23])[H:24],56.550944
[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[C:21]([H:22])([H:23])[H:24]>>[C:0]([C:1]1[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[H:10][C:21]([H:22])([H:23])[H:24],37.748048
[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[C:21]([H:22])([H:23])[H:24]>>[C:0]([C:1]1([H:10])[C:2]([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[H:11][C:21]([H:22])([H:23])[H:24],47.772912
[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[C:21]([H:22])([H:23])[H:24]>>[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[H:13][C:21]([H:22])([H:23])[H:24],47.291752
[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[C:21]([H:22])([H:23])[H:24]>>[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:16])[C:5]([H:17])([H:18])[C:6]1([H:19])[H:20])([H:7])([H:8])[H:9].[H:15][C:21]([H:22])([H:23])[H:24],45.735304
[C:0]([C:1]1([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]1([H:18])[H:19])([H:7])[H:8]>>[C:0]([C:1]1([H:9])[C:2]([H:10])([H:11])[C:3]([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]1([H:18])[H:19])([H:7])([H:8])[H:12],120.026408
[C:0]([C:1]1([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]([H:16])([H:17])[C:6]1([H:18])[H:19])([H:7])[H:8]>>[C:0]([C:1]1([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:15])[C:5]([H:16])([H:17])[C:6]1([H:18])[H:19])([H:7])([H:8])[H:14],94.9768
[C:0]([C:1](=[C:2]([H:9])[H:10])[C:3]([C:4]([C:5]([C:6]([H:17])([H:18])[H:19])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12])([H:7])[H:8]>>[C:0](=[C:1]=[C:2]([H:9])[H:10])([H:7])[H:8].[C:3]([C:4]([C:5]([C:6]([H:17])([H:18])[H:19])([H:15])[H:16])([H:13])[H:14])([H:11])[H:12],209.526352
[C:0](=[C:1]=[C:2]([C:3]([C:4]([H:10])([H:11])[H:12])([H:8])[H:9])[H:7])([H:5])[H:6].[C:13]([C:14]([H:17])([H:18])[H:19])([H:15])[H:16]>>[C:0]([C:1](=[C:2]([C:3]([C:4]([H:10])([H:11])[H:12])([H:8])[H:9])[H:7])[C:13]([C:14]([H:17])([H:18])[H:19])([H:15])[H:16])([H:5])[H:6],31.38
[C:0]([C:1]([H:4])([H:5])[H:6])([H:2])[H:3].[C:7]([C:8](=[C:9]([C:10](=[C:11]([H:17])[H:18])[H:16])[H:15])[H:14])([H:12])[H:13]>>[C:0]([C:1]([H:4])([H:5])[H:6])([H:2])([H:3])[C:7]([C:8](=[C:9]([C:10](=[C:11]([H:17])[H:18])[H:16])[H:15])[H:14])([H:12])[H:13],2.146392
[C:0](=[C:1]([C:2]([C:3]([C:4]([C:5](=[C:6]([H:17])[H:18])[H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9])([H:7])[H:8]>>[C:0](=[C:1]([C:2]([H:10])[H:11])[H:9])([H:7])[H:8].[C:3]([C:4]([C:5](=[C:6]([H:17])[H:18])[H:16])([H:14])[H:15])([H:12])[H:13],313.624272
[C:0](=[C:1]([C:2]([C:3]([C:4]([C:5](=[C:6]([H:17])[H:18])[H:16])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9])([H:7])[H:8]>>[C:0]([C:1](=[C:2]([H:10])[H:11])[H:9])([H:7])([H:8])[H:14].[C:3](=[C:4]([C:5](=[C:6]([H:17])[H:18])[H:16])[H:15])([H:12])[H:13],205.0
[C:0]1([H:6])([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17]>>[C:0]([C:1]([C:2]([C:3]([C:4]([H:6])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])([H:8])[H:9])(=[C:5]([H:16])[H:17])[H:7],369.162688
[C:0]1([H:6])([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[H:18]>>[C:0]1([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[H:6][H:18],16.054008
[C:0]1([H:6])([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[O:18]>>[C:0]1([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[H:6][O:18],8.811504
[C:0]1([H:6])([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[O:18][H:19]>>[C:0]1([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[H:6][O:18][H:19],-4.24676
[C:0]1([H:6])([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[O:18][O:19]>>[C:0]1([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[H:6][O:18][O:19],199.11656
[C:0]1([H:6])([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[O:18][O:19][H:20]>>[C:0]1([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[H:6][O:18][O:19][H:20],62.751632
[C:0]1([H:6])([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[C:18]([H:19])([H:20])[H:21]>>[C:0]1([H:7])[C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:15])[C:5]1([H:16])[H:17].[H:6][C:18]([H:19])([H:20])[H:21],48.6749824
[C:0]1([H:6])[C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]1([H:15])[H:16].[O:17][O:18]>>[C:0]1([H:6])([O:17][O:18])[C:1]([H:7])([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]1([H:15])[H:16],-6.250896
[O:0][O:1][C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18]>>[O:0]([O:1][C:2]1([H:8])[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18])[H:9],86.052328
[O:0][O:1][C:2]1([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18]>>[C:2]1([H:8])=[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18].[O:0]([O:1])[H:9],138.072
[O:0]([O:1][C:2]1([H:9])[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18])[H:8]>>[C:2]1([H:9])=[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18].[O:0]([O:1])[H:8],83.68
[O:0]([O:1][C:2]1([H:9])[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18])[H:8].[O:19][O:20]>>[O:0]([O:1][C:2]1([H:9])[C:3]([H:10])([O:19][O:20])[C:4]([H:11])([H:12])[C:5]([H:13])([H:14])[C:6]([H:15])([H:16])[C:7]1([H:17])[H:18])[H:8],0.0
[O:0][O:1][C:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])([H:16])[C:6]([H:17])([H:18])[C:7]1([O:8][O:9][H:20])[H:19]>>[O:0][O:1][C:2]1([H:10])[C:3]([H:11])([H:12])[C:4]([H:13])([H:14])[C:5]([H:15])([H:16])[C:6]([H:17])([H:18])[C:7]1([O:8])[H:19].[O:9][H:20],75.312
[C:0]([C:1](=[C:2]([H:8])[H:9])[C:3]([C:4]([C:5]([H:14])([H:15])[H:16])([H:12])[H:13])([H:10])[H:11])([H:6])[H:7]>>[C:0](=[C:1]=[C:2]([H:8])[H:9])([H:6])[H:7].[C:3]([C:4]([C:5]([H:14])([H:15])[H:16])([H:12])[H:13])([H:10])[H:11],209.526352
[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15]>>[C:0]([C:1](=[C:2]([H:8])[H:9])[H:7])(=[C:5]([H:14])[H:15])[H:6].[C:3](=[C:4]([H:12])[H:13])([H:10])[H:11],261.2908
[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[H:16]>>[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[H:8][H:16],10.41816
[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[O:16]>>[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[H:8][O:16],24.60192
[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[O:16][H:17]>>[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[H:8][O:16][H:17],-1.246832
[C:0]1([H:6])[C:1]([H:7])=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14].[O:15][O:16][H:17]>>[C:0]1([H:6])([H:17])[C:1]([H:7])=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14].[O:15][O:16],0.0
[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:8])([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[C:16]([H:17])([H:18])[H:19]>>[C:0]1([H:6])=[C:1]([H:7])[C:2]([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15].[H:8][C:16]([H:17])([H:18])[H:19],23.7442
[C:0]1([H:6])[C:1]([H:7])=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14]>>[C:0]1([H:6])=[C:5]([H:14])[C:4]([H:11])([H:12])[C:3]([H:9])([H:10])[C:2]([H:8])=[C:1]1[H:7].[H:13],208.3305648
[C:0]1([H:6])[C:1]([H:7])=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14].[H:15]>>[C:0]1([H:6])=[C:5]([H:14])[C:4]([H:11])([H:12])[C:3]([H:9])([H:10])[C:2]([H:8])=[C:1]1[H:7].[H:13][H:15],0.0
[C:0]1([H:6])[C:1]([H:7])=[C:2]([H:8])[C:3]([H:9])([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14].[O:15][O:16]>>[C:0]1([H:6])=[C:5]([H:14])[C:4]([H:11])([H:12])[C:3]([H:9])([H:10])[C:2]([H:8])=[C:1]1[H:7].[H:13][O:15][O:16],0.0
[C:0]([H:1])([H:2])[H:3].[C:4]1([H:10])[C:5]([H:11])=[C:6]([H:12])[C:7]([H:13])([H:14])[C:8]([H:15])([H:16])[C:9]1([H:17])[H:18]>>[C:0]([H:1])([H:2])([H:3])[H:17].[C:4]1([H:10])=[C:9]([H:18])[C:8]([H:15])([H:16])[C:7]([H:13])([H:14])[C:6]([H:12])=[C:5]1[H:11],0.0
[C:0](=[C:1]([H:4])[H:5])([H:2])[H:3].[C:6](=[C:7][C:8]([H:11])([H:12])[H:13])([H:9])[H:10]>>[C:0](=[C:1]([H:4])[H:5])[H:3].[H:2][C:7](=[C:6]([H:9])[H:10])[C:8]([H:11])([H:12])[H:13],29.288
[C:0](=[C:1]([H:4])[H:5])([H:2])[H:3].[C:6](=[C:7][C:8]([H:11])([H:12])[H:13])([H:9])[H:10]>>[C:0]([C:1]([H:4])[H:5])([H:2])([H:3])[C:7](=[C:6]([H:9])[H:10])[C:8]([H:11])([H:12])[H:13],6.65256
[C:0](=[C:1]([C:2](=[C:3]([C:4]([H:10])([H:11])[H:12])[H:9])[H:8])[H:7])([H:5])[H:6].[C:13]([H:14])([H:15])[H:16]>>[C:0](=[C:1]([C:2](=[C:3]([C:4]([H:11])[H:12])[H:9])[H:8])[H:7])([H:5])[H:6].[H:10][C:13]([H:14])([H:15])[H:16],23.7442
[C:0](=[C:1]([C:2](=[C:3]([C:4]([H:10])([H:11])[H:12])[H:9])[H:8])[H:7])([H:5])[H:6].[C:13]([H:14])([H:15])[H:16]>>[C:0](=[C:1]([C:2]([C:3]([C:4]([H:10])([H:11])[H:12])([H:9])[C:13]([H:14])([H:15])[H:16])[H:8])[H:7])([H:5])[H:6],16.736
[C:0](=[C:1]([C:2](=[C:3]([C:4]([H:10])([H:11])[H:12])[H:9])[H:8])[H:7])([H:5])[H:6].[C:13]([H:14])([H:15])[H:16]>>[C:0](=[C:1]([C:2]([C:3]([C:4]([H:10])([H:11])[H:12])[H:9])([H:8])[C:13]([H:14])([H:15])[H:16])[H:7])([H:5])[H:6],28.242
[C:0](=[C:1]=[C:2]([C:3]([C:4]([H:10])([H:11])[H:12])([H:8])[H:9])[H:7])([H:5])[H:6]>>[C:0]([C:1]#[C:2][H:7])([H:5])([H:6])[H:10].[C:3](=[C:4]([H:11])[H:12])([H:8])[H:9],243.0904
[C:0]([H:1])([H:2])[H:3].[C:4](=[C:5]([C:6](=[C:7]([H:11])[H:12])[H:10])[H:9])[H:8]>>[C:0]([H:1])([H:2])([H:3])[C:4](=[C:5]([C:6](=[C:7]([H:11])[H:12])[H:10])[H:9])[H:8],0.0
[C:0](=[C:1][C:2](=[C:3]([H:7])[H:8])[H:6])([H:4])[H:5].[C:9]([H:10])([H:11])[H:12]>>[C:0](=[C:1]([C:2](=[C:3]([H:7])[H:8])[H:6])[C:9]([H:10])([H:11])[H:12])([H:4])[H:5],0.0
[C:0]([C:1](=[C:2]([H:7])[H:8])[C:3](=[C:4]([H:10])[H:11])[H:9])([H:5])[H:6]>>[C:0](=[C:1]=[C:2]([H:7])[H:8])([H:5])[H:6].[C:3](=[C:4]([H:10])[H:11])[H:9],209.526352
[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[O:11][H:12]>>[C:0](=[C:1]([C:2](=[C:3]([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[H:8][O:11][H:12],0.0
[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[O:11][H:12]>>[C:0](=[C:1]=[C:2]([C:3]([H:8])([H:9])[H:10])[H:7])([H:4])[H:5].[H:6][O:11][H:12],0.0
[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[O:11][O:12][H:13]>>[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])([H:7])[H:13])[H:6])([H:4])[H:5].[O:11][O:12],0.0
[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[C:11](=[O:12])[H:13]>>[C-:11]#[O+:12].[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])([H:7])[H:13])[H:6])([H:4])[H:5],0.0
[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[C:11]([H:12])([H:13])[H:14]>>[C:0](=[C:1]([C:2](=[C:3]([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[H:8][C:11]([H:12])([H:13])[H:14],0.0
[C:0](=[C:1]([C:2]([C:3]([H:8])([H:9])[H:10])[H:7])[H:6])([H:4])[H:5].[C:11]([H:12])([H:13])[H:14]>>[C:0](=[C:1]=[C:2]([C:3]([H:8])([H:9])[H:10])[H:7])([H:4])[H:5].[H:6][C:11]([H:12])([H:13])[H:14],0.0
[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])[C:5]([H:16])([H:17])[C:6]1([H:18])[H:19])([H:7])([H:8])[H:9].[O:20][O:21]>>[C:0]([C:1]1([H:10])[C:2]([H:11])([H:12])[C:3]([H:13])([H:14])[C:4]([H:15])([O:20][O:21])[C:5]([H:16])([H:17])[C:6]1([H:18])[H:19])([H:7])([H:8])[H:9],-6.250896
[C:0]([C:1]1([H:12])[C:2]([H:13])([H:14])[C:3]([H:15])([H:16])[C:4]([O:5][O:6])([H:17])[C:7]([H:18])([H:19])[C:8]1([H:20])[H:21])([H:9])([H:10])[H:11]>>[C:0]([C:1]1([H:12])[C:2]([H:13])([H:14])[C:3]([H:16])[C:4]([O:5][O:6][H:15])([H:17])[C:7]([H:18])([H:19])[C:8]1([H:20])[H:21])([H:9])([H:10])[H:11],86.052328
[C:0]([C:1]([C:2]1([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])[C:6]([H:19])([H:20])[C:7]1([H:21])[H:22])([H:11])[H:12])([H:8])([H:9])[H:10].[O:23][O:24]>>[C:0]([C:1]([C:2]1([H:13])[C:3]([H:14])([H:15])[C:4]([H:16])([H:17])[C:5]([H:18])([O:23][O:24])[C:6]([H:19])([H:20])[C:7]1([H:21])[H:22])([H:11])[H:12])([H:8])([H:9])[H:10],-6.250896
[C:0]([C:1]([C:2]1([H:15])[C:3]([H:16])([H:17])[C:4]([H:18])([H:19])[C:5]([O:6][O:7])([H:20])[C:8]([H:21])([H:22])[C:9]1([H:23])[H:24])([H:13])[H:14])([H:10])([H:11])[H:12]>>[C:0]([C:1]([C:2]1([H:15])[C:3]([H:16])([H:17])[C:4]([H:19])[C:5]([O:6][O:7][H:18])([H:20])[C:8]([H:21])([H:22])[C:9]1([H:23])[H:24])([H:13])[H:14])([H:10])([H:11])[H:12],86.052328
[C:0]([C:1]([C:2]([C:3]1([H:16])[C:4]([H:17])([H:18])[C:5]([H:19])([H:20])[C:6]([H:21])[C:7]([H:22])([H:23])[C:8]1([H:24])[H:25])([H:14])[H:15])([H:12])[H:13])([H:9])([H:10])[H:11].[O:26][O:27]>>[C:0]([C:1]([C:2]([C:3]1([H:16])[C:4]([H:17])([H:18])[C:5]([H:19])([H:20])[C:6]([H:21])([O:26][O:27])[C:7]([H:22])([H:23])[C:8]1([H:24])[H:25])([H:14])[H:15])([H:12])[H:13])([H:9])([H:10])[H:11],-6.250896
[C:0]([C:1]([C:2]([C:3]1([H:18])[C:4]([H:19])([H:20])[C:5]([H:21])([H:22])[C:6]([O:7][O:8])([H:23])[C:9]([H:24])([H:25])[C:10]1([H:26])[H:27])([H:16])[H:17])([H:14])[H:15])([H:11])([H:12])[H:13]>>[C:0]([C:1]([C:2]([C:3]1([H:18])[C:4]([H:20])[C:5]([H:21])([H:22])[C:6]([O:7][O:8][H:19])([H:23])[C:9]([H:24])([H:25])[C:10]1([H:26])[H:27])([H:16])[H:17])([H:14])[H:15])([H:11])([H:12])[H:13],86.052328
[C:0]([C:1]([C:2]([C:3]([C:4]1([H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[C:7]([H:24])[C:8]([H:25])([H:26])[C:9]1([H:27])[H:28])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([H:10])([H:11])[H:12].[O:29][O:30]>>[C:0]([C:1]([C:2]([C:3]([C:4]1([H:19])[C:5]([H:20])([H:21])[C:6]([H:22])([H:23])[C:7]([H:24])([O:29][O:30])[C:8]([H:25])([H:26])[C:9]1([H:27])[H:28])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])([H:10])([H:11])[H:12],-6.250896
[C:0]([C:1]([C:2]([C:3]([C:4]1([H:21])[C:5]([H:22])([H:23])[C:6]([H:24])([H:25])[C:7]([O:8][O:9])([H:26])[C:10]([H:27])([H:28])[C:11]1([H:29])[H:30])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:12])([H:13])[H:14]>>[C:0]([C:1]([C:2]([C:3]([C:4]1([H:21])[C:5]([H:22])([H:23])[C:6]([H:25])[C:7]([O:8][O:9][H:24])([H:26])[C:10]([H:27])([H:28])[C:11]1([H:29])[H:30])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])([H:12])([H:13])[H:14],86.052328
[H:4].[O:0]=[C:1][O:2][H:3]>>[H:3][H:4].[O:0]=[C:1]=[O:2],2.32212
[O:0]=[C:1][O:2][H:3].[O:4]>>[H:3][O:4].[O:0]=[C:1]=[O:2],0.0
[O:0]=[C:1][O:2][H:3].[O:4][O:5][H:6]>>[H:3][O:4][O:5][H:6].[O:0]=[C:1]=[O:2],0.0
[O:0]=[C:1][O:2][H:3].[O:4][O:5][H:6]>>[O:0]=[C:1]([O:2][H:3])[H:6].[O:4][O:5],0.0
[C:0]([H:1])([H:2])([H:3])[H:4].[O:5][O:6]>>[C:0]([H:2])([H:3])[H:4].[H:1][O:5][O:6],216.371376
[C:0][H:1].[O:2][H:3]>>[C:0].[H:1][O:2][H:3],12.552
[C:0]([O:1][O:2])([H:3])([H:4])[H:5].[C:6]([O:7][H:10])([H:8])[H:9]>>[C:0]([O:1][O:2][H:10])([H:3])([H:4])[H:5].[C:6](=[O:7])([H:8])[H:9],0.0
[C:0]([C:1]([H:5])([H:6])[H:7])([H:2])([H:3])[H:4].[C:8](=[O:9])[H:10]>>[C:0]([C:1]([H:5])([H:6])[H:7])([H:3])[H:4].[H:2][C:8](=[O:9])[H:10],159.996
[C:0][H:1].[C:2](=[C:3]([H:5])[H:6])[H:4]>>[C:0]([H:1])[H:5].[C:2](#[C:3][H:6])[H:4],0.0
[C:0]([C:1]([O:2][H:7])[H:6])([H:3])([H:4])[H:5].[H:8]>>[C:0](=[C:1]([O:2][H:7])[H:6])([H:4])[H:5].[H:3][H:8],-1.397456
[C:0]([C:1](=[O:2])[H:6])([H:3])([H:4])[H:5].[C:7]([O:8])([H:9])([H:10])[H:11]>>[C:0]([C:1]=[O:2])([H:3])([H:4])[H:5].[H:6][O:8][C:7]([H:9])([H:10])[H:11],12.472504
[C:0]([C:1](=[O:2])[H:6])([H:3])([H:4])[H:5].[C:7]([O:8])([H:9])([H:10])[H:11]>>[C:0]([C:1](=[O:2])[H:6])([H:4])[H:5].[H:3][O:8][C:7]([H:9])([H:10])[H:11],29.7064
[C:0](=[C:1]([O:2][H:5])[H:4])[H:3].[H:6]>>[C:0](#[C:1][O:2][H:5])[H:3].[H:4][H:6],0.0
[C:0](=[C:1]([O:2][H:5])[H:4])[H:3].[O:6][H:7]>>[C:0](#[C:1][O:2][H:5])[H:3].[H:4][O:6][H:7],0.0
[C:0](=[C:1]([O:2][H:5])[H:4])[H:3].[C:6](=[O:7])[H:8]>>[C-:6]#[O+:7].[C:0](=[C:1]([O:2][H:5])[H:4])([H:3])[H:8],0.0
[C:0]([H:1])([H:2])[H:3].[C:4](=[C:5]([O:6][H:9])[H:8])[H:7]>>[C:0]([H:1])([H:2])([H:3])[H:8].[C:4](#[C:5][O:6][H:9])[H:7],0.0
[C:0](#[C:1][O:2][H:4])[H:3].[H:5]>>[C:0](#[C:1][O:2])[H:3].[H:4][H:5],4.184
[C:0](#[C:1][O:2][H:4])[H:3].[O:5][H:6]>>[C:0](#[C:1][O:2])[H:3].[H:4][O:5][H:6],4.184
[C:0](#[C:1][O:2])[H:3].[O:4][H:5]>>[C:0]#[C:1][O:2].[H:3][O:4][H:5],6.158848
[H:5].[O:0]=[C:1]([O:2][H:4])[H:3]>>[H:3][H:5].[O:0]=[C:1][O:2][H:4],20.325872
[H:5].[O:0]=[C:1]([O:2][H:4])[H:3]>>[H:4][H:5].[O:0]=[C:1]([O:2])[H:3],58.956744
[O:0]=[C:1]([O:2][H:4])[H:3].[O:5]>>[H:3][O:5].[O:0]=[C:1][O:2][H:4],17.639744
