rxn,Ea
[C:0](=[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](=[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[C:4]([H:12])[C:5]1([H:13])[H:14])[H:8])([H:6])[H:7],163.385
[C:0](=[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](=[C:1]([C:2]1([H:9])[C:3]([H:10])([H:11])[C:4]1([C:5]([H:13])[H:14])[H:12])[H:8])([H:6])[H:7],71.8811
[C:0](=[C:1]([C:2]([C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])([H:10])[H:11])[H:9])[H:8])([H:6])[H:7]>>[C:0](=[C:1]([C:2](=[C:3]([C:4](=[C:5]([H:13])[H:14])[H:12])[H:11])[H:9])[H:8])([H:6])[H:7].[H:10],170.138176
[C:0]([C:1]1([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])[H:7]>>[C:0](=[C:1]1[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])[H:7].[H:8],135.159936
[C:0]([C:1]1([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])[H:7]>>[C:0]([C:1]1[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])([H:7])[H:8],102.679544
[C:0]([C:1]1([H:8])[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])[H:7]>>[C:0]([C:1]1([H:8])[C:2]([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])([H:7])[H:9],61.015272
[C:0]1([H:6])[C:1]([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14]>>[C:0]1([H:6])=[C:1]([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14].[H:7],138.624288
[C:0]1([H:6])[C:1]([H:7])([H:8])[C:2]([H:9])=[C:3]([H:10])[C:4]([H:11])([H:12])[C:5]1([H:13])[H:14]>>[C:0]1([H:6])=[C:5]([H:14])[C:4]([H:11])([H:12])[C:3]([H:10])=[C:2]([H:9])[C:1]1([H:7])[H:8].[H:13],139.720496
[C:0]([C:1]1([H:9])[C:2]([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])([H:7])[H:8]>>[C:0]([H:6])([H:7])[H:8].[C:1]1([H:9])=[C:2]([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14],163.017008
[C:0]([C:1]1[C:2]([H:9])([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])([H:7])[H:8]>>[C:0]([C:1]1([H:9])[C:2]([H:10])[C:3]([H:11])=[C:4]([H:12])[C:5]1([H:13])[H:14])([H:6])([H:7])[H:8],102.428504
[H:0][H:1].[O:2][H:3]>>[H:0].[H:1][O:2][H:3],84.2448
[O:0][H:1].[O:2][H:3]>>[H:1][O:2][H:3].[O:0],-8.07512
[H:0].[O:1][O:2][H:3]>>[H:0][H:3].[O:1][O:2],-6.070984
[H:0].[O:1][O:2][H:3]>>[H:0][O:2][H:3].[O:1],-0.6698584
[O:0].[O:1][O:2][H:3]>>[O:0][H:3].[O:1][O:2],-3.02892312
